place,count
CA,2808
Alaska,2329
Hawaii,887
Washington,521
Texas,381
Nevada,256
Montana,206
Mexico,187
Rico,144
Oklahoma,139
Utah,132
California,86
Islands,68
Indonesia,68
region,62
Oregon,55
MX,50
Canada,39
Chile,38
Idaho,33
Guinea,33
Japan,32
Tonga,27
Philippines,26
Wyoming,24
Russia,21
Republic,19
Argentina,19
Ridge,17
Ecuador,16
Tennessee,16
Greece,13
Fiji,12
Carolina,12
Vanuatu,12
Salvador,12
Peru,11
Guatemala,10
Missouri,10
China,10
India,10
Zealand,9
Afghanistan,8
Iran,8
Colombia,8
Turkey,7
Leste,7
Rica,7
Tajikistan,7
Island,7
Guam,6
Mayen,6
Taiwan,6
Ethiopia,6
Nicaragua,6
Jersey,5
Bolivia,5
Rise,5
Ocean,4
Kansas,4
Sea,3
Caledonia,3
Myanmar,3
Pakistan,3
Honduras,3
Arkansas,3
Iceland,2
Arizona,2
Colorado,2
Venezuela,2
Georgia,2
Turkmenistan,2
Romania,2
Panama,2
Vietnam,1
Guadeloupe,1
Congo,1
Earthquake,1
Madagascar,1
Italy,1
Martinique,1
Herzegovina,1
Yemen,1
Algeria,1
Maine,1
Illinois,1
Greenland,1
Samoa,1
Futuna,1
Portugal,1
Tanzania,1
Albania,1
America,1
Libya,1
